id,type,name,latitude,longitude,landuse,natural,leaf_type,source
way-30526664,way,もみじ谷,35.6577793,139.746314,,wood,broadleaved,OpenStreetMap
way-34906621,way,慰霊の庭,35.695336,139.7473848,forest,,,OpenStreetMap
way-34906622,way,憩いの庭,35.6949442,139.7458504,forest,,,OpenStreetMap
way-34906624,way,,35.6946544,139.7445209,forest,,,OpenStreetMap
way-34906625,way,,35.693972,139.7427828,forest,,,OpenStreetMap
way-34906626,way,,35.6934221,139.7426966,forest,,,OpenStreetMap
way-34906627,way,,35.6950372,139.7482533,forest,,,OpenStreetMap
way-43933853,way,,35.6844374,139.7524336,forest,wood,,OpenStreetMap
way-43933963,way,,35.6832556,139.7541337,forest,,,OpenStreetMap
way-43934322,way,,35.6899162,139.7567701,forest,,,OpenStreetMap
way-43934661,way,,35.6919256,139.7497226,forest,,,OpenStreetMap
way-43935786,way,,35.6933874,139.7509996,forest,,,OpenStreetMap
way-43935793,way,,35.6919233,139.7515955,forest,,broadleaved,OpenStreetMap
way-43941442,way,,35.6792148,139.7532301,forest,wood,,OpenStreetMap
way-43941453,way,,35.6813282,139.7524463,forest,wood,,OpenStreetMap
way-43941454,way,,35.6805157,139.7520194,forest,wood,,OpenStreetMap
way-43981349,way,,35.684916,139.7593349,forest,,,OpenStreetMap
way-43982098,way,,35.6809267,139.7499059,forest,wood,,OpenStreetMap
way-54964643,way,,35.6801125,139.7343101,,wood,,OpenStreetMap
way-57688320,way,,35.7530285,139.9056485,,wood,,OpenStreetMap
way-91032352,way,,35.7756365,139.943625,,wood,,OpenStreetMap
way-91032913,way,,35.7657582,139.9144715,,wood,,OpenStreetMap
way-91033043,way,,35.806945,139.9488405,,wood,,OpenStreetMap
way-91033638,way,,35.765351,139.9483315,,wood,,OpenStreetMap
way-91037888,way,北国分第四緑地,35.7654286,139.9095133,,wood,,OpenStreetMap
way-91038698,way,,35.7561802,139.9065176,,wood,,OpenStreetMap
way-91038831,way,,35.7630683,139.9091442,,wood,,OpenStreetMap
way-91039870,way,,35.7522158,139.8997508,,wood,,OpenStreetMap
way-91041092,way,,35.766353,139.9085321,,wood,,OpenStreetMap
way-91041126,way,,35.756814,139.9078433,,wood,,OpenStreetMap
